"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"22.99.16.123 (UNSECURED CAESAR2)","Maxi Despensa Troncal de Norte","Lexmark MS823dn","4064820010FNB","58","CAB222573E36","61786","55000","5","2","2023-08-04T13:51:23.000+00:00","86","CAD2207484A2","150000","100","225000",""
"22.99.16.147 (UNSECURED CAESAR1)","Maxi Despensa Troncal de Norte","Lexmark MX511de","70157GHH1HTX9","2","CAB25189001C","12723","20000","4","5","2026-03-26T13:54:05.000+00:00","93","CAB253501522","60000","92","200000","Aceptar"
"22.99.24.122 (UNSECURED CAESAR2)","Maxi Despensa Usulutan","Lexmark MS823dn","4064847013X8H","64","CAB2428845FC","29374","55000","2","1","2025-06-07T06:00:00.000+00:00","80","CAB242074591","150000","85","225000","Aceptar"
"22.99.24.123 (UNSECURED CAESAR2)","Maxi Despensa Usulutan","Lexmark MS823dn","4064820010FNK","51","CAB241641685","32569","55000","5","4","2024-09-06T18:48:42.000+00:00","22","CAD182771EE3","150000","76","225000","Aceptar"
"22.99.24.146 (UNSECURED CAESAR1)","Maxi Despensa Usulutan","Lexmark MX511de","70157GHH1HTZY","85","CAB253292D22","2767","20000","4","2","2026-04-14T17:08:36.000+00:00","77","CAB241870049","60000","65","200000","Aceptar"
"22.99.24.148 (UNSECURED CAESAR2)","Maxi Despensa Usulutan","Lexmark MS823dn","40649190169ZL","48","CAB242884671","16258","55000","4","12","2026-03-04T07:06:30.000+00:00","83","CAD22074849A","150000","58","225000","Aceptar"
"22.99.32.122 (UNSECURED CAESAR1_LITE)","Despensa Familiar Cojutepeque","Lexmark MS811","406347990KCZN","80","CAB201680CF6","34936","45000","1","2","2020-10-29T17:43:24.000+00:00","75","CAB193395B71","100000","56","200000","Aceptar"
"22.99.32.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Cojutepeque","Lexmark MS811","406347990KCZV","86","CAB243102CF9","5484","45000","5","6","2025-05-12T17:48:53.000+00:00","25","CAB221964019","100000","64","200000","Aceptar"
"22.99.32.146 (UNSECURED CAESAR1)","Despensa Familiar Cojutepeque","Lexmark MX511de","70157GHH1HTX3","12","CAB2518828F5","20121","20000","4","7","2026-01-05T22:07:49.000+00:00","87","CAB253501495","60000","82","200000","Aceptar"
"22.99.40.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Acajutla","Lexmark MS811","40635C6600Z6X","72","CAB25022117F","12941","45000","3","2","2025-12-13T16:35:12.000+00:00","79","CAB25028002A","100000","66","200000","Aceptar"
"22.99.40.147 (UNSECURED CAESAR2)","Despensa Familiar Acajutla","Lexmark MX432adwe","701933230H55V","78","CAA243394380","4349","20000","5","1","2026-03-11T17:25:24.000+00:00","84","CAA233322C65","40000","91","100000","Aceptar"
"22.99.48.122 (UNSECURED CAESAR1_LITE)","Walmart San Miguel","Lexmark MS811","40638D6602MD5","100","CAB253370FB4","5724","45000","2","8","2026-07-29T19:38:54.000+00:00","61","CAB250273CC1","100000","100","200000","Aceptar"
"22.99.48.123 (UNSECURED CAESAR1_LITE)","Walmart San Miguel","Lexmark MS811","40637D6604W6X","15","CAB241483EA6","49335","45000","2","2","2025-10-18T21:01:54.000+00:00","71","CAB250273CD0","100000","42","200000","Aceptar"
"22.99.48.146 (UNSECURED CAESAR1)","Walmart San Miguel","Lexmark MX511de","70157GHH1TT0Y","46","CAB253292E13","5076","20000","10","2","2026-07-18T16:56:21.000+00:00","77","CAB252262D78","60000","39","200000","Aceptar"
"22.99.48.147 (UNSECURED CAESAR1)","Walmart San Miguel","Lexmark MX711","74634C66013RY","17","CAB25022106B","23998","45000","7","5","2025-12-01T14:46:37.000+00:00","72","CAB2502801EE","100000","69","200000","Aceptar"
"22.99.48.148 (UNSECURED CAESAR1_LITE)","Walmart San Miguel","Lexmark MS811","406347990P0WF","100","CAB253370F45","1507","45000","6","3","2026-08-20T15:28:15.000+00:00","61","CAB250075A03","100000","100","200000","Aceptar"
"22.99.64.122 (UNSECURED CAESAR1_LITE)","Despensa Familiar Sonzacate Norte","Lexmark MS811","40636C6604PVF","32","CAB230763C5F","37134","45000","2","2","2025-01-03T20:19:17.000+00:00","86","CAB2431750D8","100000","46","200000","Aceptar"
"22.99.64.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Sonzacate Norte","Lexmark MS811","40636C6604PLN","42","CAB241490207","29434","45000","4","10","2024-11-07T16:45:03.000+00:00","71","CAB241860A8B","100000","18","200000","Aceptar"
"22.99.64.146 (UNSECURED CAESAR1)","Despensa Familiar Sonzacate Norte","Lexmark MX511de","70157GHH1H230","6","CAB22140533F","13924","20000","6","2","2023-06-13T16:22:38.000+00:00","59","CAB222854E82","60000","33","200000","Aceptar"
"22.99.72.122 (UNSECURED CAESAR1_LITE)","Despensa Familiar Santa Ana Norte","Lexmark MS811","40636C6601DZN","85","CAB230763C3E","23791","45000","1","2","2019-10-01T19:56:46.000+00:00","24","CAB220690ACB","100000","85","200000","Aceptar"
"22.99.72.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Santa Ana Norte","Lexmark MS811","40636C6601DXV","22","CAB193382EC8","50321","45000","3","13","2023-10-12T18:33:17.000+00:00","92","CAB221990E26","100000","11","200000","Aceptar"
"22.99.72.147 (UNSECURED CAESAR1)","Despensa Familiar Santa Ana Norte","Lexmark MX511de","701555HH0R4BG","13","CAB24292380E","16056","20000","4","4","2025-06-25T19:56:35.000+00:00","68","CAB241870196","60000","91","200000","Aceptar"
"22.99.80.122 (UNSECURED CAESAR1_LITE)","Despensa Familiar Cuscatancingo Norte","Lexmark MS811","40636C6604PNL","45","CAB1726905F6","90223","45000","1","2","2021-01-22T18:31:21.000+00:00","28","CAB223081DF1","100000","41","200000","Aceptar"
"22.99.80.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Cuscatancingo Norte","Lexmark MS811","40636C6604PTY","57","CAB243102C6E","22748","45000","4","6","2025-05-05T19:42:23.000+00:00","88","CAB250076130","100000","100","200000","Aceptar"
"22.99.80.147 (UNSECURED CAESAR1)","Despensa Familiar Cuscatancingo Norte","Lexmark MX511de","70156PHH16D3C","51","CAB251882913","8397","20000","5","11","2025-11-03T21:34:50.000+00:00","100","CAB252262D76","60000","23","200000","Aceptar"
"22.99.88.122 (UNSECURED CAESAR1_LITE)","Despensa Familiar Ilopango","Lexmark MS811","40636C6604P11","88","CAB230763C98","23105","45000","1","2","2023-08-10T15:36:25.000+00:00","78","CAB230383A96","100000","29","200000","Aceptar"
